benchmark,arch,rho,seed,rel_err_u,rel_err_x,obj,stop_epoch,solve_s
linear,deeponet,0.1,42,0.06173592060804367,0.0027426357846707106,0.1929406374692917,14408,38.34598994255066
linear,deeponet,0.1,43,0.06170743331313133,0.00267574074678123,0.19293837249279022,13258,30.69946813583374
linear,deeponet,0.1,44,0.06166356801986694,0.002676048781722784,0.19294007122516632,14341,33.09621810913086
linear,deeponet,1.0,42,0.019114555791020393,0.000488380144815892,0.19274915754795074,10834,25.19566321372986
linear,deeponet,1.0,43,0.019131304696202278,0.0004926949623040855,0.19274911284446716,10165,23.765165328979492
linear,deeponet,1.0,44,0.019125470891594887,0.0004924305249005556,0.19274909794330597,11250,26.084652185440063
linear,deeponet,10.0,42,0.053061410784721375,0.003112566424533725,0.19194692373275757,7459,17.778463125228882
linear,deeponet,10.0,43,0.05306048318743706,0.0031126998364925385,0.19194692373275757,6544,15.061264276504517
linear,deeponet,10.0,44,0.05306120589375496,0.0031126670073717833,0.19194693863391876,7778,17.932954788208008
linear,fno,0.1,42,0.09935767203569412,0.0019464562647044659,0.19333790242671967,8678,33.10855531692505
linear,fno,0.1,43,0.09936723858118057,0.0019257849780842662,0.19333793222904205,8819,33.78837704658508
linear,fno,0.1,44,0.09913074970245361,0.001928258454427123,0.19333723187446594,9375,35.972928047180176
linear,fno,1.0,42,0.03671291097998619,0.0009698295616544783,0.19311335682868958,5439,21.07711434364319
linear,fno,1.0,43,0.03667290136218071,0.0009697359637357295,0.1931133270263672,5108,19.847107887268066
linear,fno,1.0,44,0.03662669286131859,0.0009697374771349132,0.1931133270263672,6046,22.541900157928467
linear,fno,10.0,42,0.0865883082151413,0.0008936067461036146,0.1930311769247055,5249,19.716165781021118
linear,fno,10.0,43,0.0865798071026802,0.0008934728102758527,0.1930311620235443,4965,18.669312000274658
linear,fno,10.0,44,0.08659693598747253,0.0008936519734561443,0.1930311918258667,5035,19.145642518997192
linear,lno,0.1,42,0.045703254640102386,0.0008394188480451703,0.19256150722503662,7649,25.16220450401306
linear,lno,0.1,43,0.04527139291167259,0.0008906567236408591,0.19256065785884857,7224,23.703069925308228
linear,lno,0.1,44,0.04526667669415474,0.0008857803768478334,0.19256064295768738,8696,28.27109718322754
linear,lno,1.0,42,0.014122764579951763,0.0013863277854397893,0.19250650703907013,4686,15.397266626358032
linear,lno,1.0,43,0.014180054888129234,0.0013881836785003543,0.19250653684139252,4483,14.67753529548645
linear,lno,1.0,44,0.014276433736085892,0.0013893196592107415,0.19250649213790894,5576,18.231274127960205
linear,lno,10.0,42,0.021927081048488617,0.0014889350859448314,0.19250017404556274,4257,13.905979871749878
linear,lno,10.0,43,0.02193170227110386,0.0014889435842633247,0.19250018894672394,4470,14.583570003509521
linear,lno,10.0,44,0.021932052448391914,0.0014887393917888403,0.19250020384788513,4373,14.204905033111572
oscillatory,deeponet,0.1,42,452.9248046875,1.491814136505127,2.035322666168213,15537,38.01155138015747
oscillatory,deeponet,0.1,43,419.7392578125,1.2495206594467163,1.6981148719787598,14579,35.85863542556763
oscillatory,deeponet,0.1,44,424.9975280761719,1.3326361179351807,1.7907004356384277,14833,36.314534187316895
oscillatory,deeponet,1.0,42,241.4726104736328,1.0845839977264404,0.5812559127807617,10776,26.53092908859253
oscillatory,deeponet,1.0,43,236.6286163330078,0.5685312747955322,0.5459080934524536,9254,22.556458473205566
oscillatory,deeponet,1.0,44,225.963623046875,0.8142582774162292,0.5023701190948486,10382,25.36855673789978
oscillatory,deeponet,10.0,42,94.83589172363281,0.43066325783729553,0.0827174112200737,6788,16.511449575424194
oscillatory,deeponet,10.0,43,88.54639434814453,0.5644330382347107,0.07878497242927551,5108,12.562302112579346
oscillatory,deeponet,10.0,44,99.1899642944336,0.4241352081298828,0.09819861501455307,5913,14.643112421035767
oscillatory,fno,0.1,42,3.0595943927764893,0.0910663902759552,0.0016179082449525595,8397,32.33615326881409
oscillatory,fno,0.1,43,3.0669808387756348,0.09103681892156601,0.001617991947568953,8128,31.5569064617157
oscillatory,fno,0.1,44,3.05829119682312,0.09093993902206421,0.0016175927594304085,9151,36.32187080383301
oscillatory,fno,1.0,42,1.2766770124435425,0.05167689919471741,0.0015607642708346248,5199,20.617420196533203
oscillatory,fno,1.0,43,1.2766776084899902,0.051650550216436386,0.0015607625246047974,5042,20.01519012451172
oscillatory,fno,1.0,44,1.2785223722457886,0.051650382578372955,0.0015607665991410613,5945,23.475144386291504
oscillatory,fno,10.0,42,1.1125198602676392,0.045732904225587845,0.0015598911559209228,3714,14.40773630142212
oscillatory,fno,10.0,43,1.112545371055603,0.04573339596390724,0.001559890923090279,3678,14.538147926330566
oscillatory,fno,10.0,44,1.112534999847412,0.045732155442237854,0.0015598912723362446,3980,15.791301488876343
oscillatory,lno,0.1,42,3.417578935623169,0.09439694136381149,0.0016389694064855576,7309,24.64497947692871
oscillatory,lno,0.1,43,3.413839340209961,0.09408728778362274,0.0016387398354709148,7395,25.0496084690094
oscillatory,lno,0.1,44,3.404977321624756,0.09414871037006378,0.0016381994355469942,8569,28.73332905769348
oscillatory,lno,1.0,42,1.3005696535110474,0.053471777588129044,0.001561428769491613,4552,15.295814752578735
