benchmark,arch,rho,rel_err_x_mean,rel_err_x_std,rel_err_u_mean,rel_err_u_std,obj_mean,obj_std,stop_epoch_mean,solve_s_mean
linear,deeponet,0.1,0.0026981417710582414,3.853325390998322e-05,0.06170230731368065,3.644764953661732e-05,0.19293969372908273,1.1787311431733909e-06,14002.333333333334,34.04722539583842
linear,deeponet,1.0,0.0004911685440068444,2.418441506667939e-06,0.01912377712627252,8.50194606683574e-06,0.19274912277857462,3.101924060701905e-08,10749.666666666666,25.015160242716473
linear,deeponet,10.0,0.003112644422799349,6.951427819275166e-08,0.053061033288637795,4.872920841972236e-07,0.1919469286998113,8.603189422499778e-09,7260.333333333333,16.924227396647137
linear,fno,0.1,0.0019334998990719516,1.128849321686528e-05,0.09928522010644276,0.00013386078208185308,0.1933376888434092,3.9602715303651795e-07,8957.333333333334,34.2899534702301
linear,fno,1.0,0.0009697676675083736,5.36072437809452e-08,0.0366708350678285,4.314618379309771e-05,0.19311333696047464,1.7206378851008814e-08,5531.0,21.15537412961324
linear,fno,10.0,0.0008935771766118705,9.316988475121943e-08,0.08658835043509801,8.564520444881835e-06,0.1930311769247055,1.4901161193847656e-08,5083.0,19.177040100097656
linear,lno,0.1,0.0008719519828446209,2.8279822036584363e-05,0.04541377474864324,0.00025070803007945096,0.19256093601385751,4.947394965976128e-07,7856.333333333333,25.71212387084961
linear,lno,1.0,0.0013879437077169616,1.5103034953245608e-06,0.014193084401388964,7.765873130938238e-05,0.19250651200612387,2.276189970754352e-08,4915.0,16.102025349934895
linear,lno,10.0,0.0014888726873323321,1.1551550454546135e-07,0.02193027858932813,2.7746813508103613e-06,0.19250018894672394,1.4901161193847656e-08,4366.666666666667,14.231484969456991
nonlinear,deeponet,0.1,0.01297947857528925,0.00048816006229982807,0.1267358958721161,0.02064453551386242,-0.10443539172410965,0.00013877360037314404,39287.666666666664,88.95035743713379
nonlinear,deeponet,1.0,0.002918694633990526,0.00017676119471575792,0.13250280916690826,0.0031392607318233225,-0.10692219187815984,2.4469181702569314e-05,19022.666666666668,42.781967322031655
nonlinear,deeponet,10.0,0.059610373030106224,0.0006975243303909759,0.31240729490915936,0.008948641974801856,-0.1176520511507988,0.0001638476300906411,16135.333333333334,36.569786628087364
nonlinear,fno,0.1,0.0058768548381825285,2.2896633841803265e-07,0.18168556690216064,9.794733995801721e-06,-0.10113504528999329,1.2904784139758924e-08,7910.333333333333,32.730798959732056
nonlinear,fno,1.0,0.005876380018889904,3.774910733453419e-07,0.1816165049870809,1.2472337196962283e-05,-0.10113431264956792,9.315708941796046e-08,7827.333333333333,32.51842244466146
nonlinear,fno,10.0,0.005880252302934726,2.305739783429566e-07,0.18134554227193198,1.120143522890704e-05,-0.10112463682889938,2.6863450374185958e-08,8006.0,33.2947572072347
nonlinear,lno,0.1,0.343597948551178,0.06632096848230407,2.043595552444458,0.23379182670459817,0.23141462604204813,0.2584071537603999,14559.333333333334,63.677812337875366
nonlinear,lno,1.0,0.26885272065798443,1.1678721115879528e-05,1.7674044768015544,3.7814970483541634e-05,-0.03411439061164856,2.3023137945923765e-06,10492.0,45.5745173295339
nonlinear,lno,10.0,0.20704003175099692,8.166874092467243e-06,1.4929208755493164,3.321578130232884e-05,-0.05253372589747111,1.1869907468535114e-06,7421.333333333333,32.50100986162821
oscillatory,deeponet,0.1,1.357990304629008,0.12312050334303677,432.5538635253906,17.83658555929485,1.8413793245951335,0.17422266343660267,14983.0,36.728240331014
oscillatory,deeponet,1.0,0.8224578499794006,0.25812405535665445,234.68828328450522,7.934471753378834,0.5431780417760214,0.03951369380330198,10137.333333333334,24.818648099899292
oscillatory,deeponet,10.0,0.4730771680672963,0.0791838059124447,94.19075012207031,5.351032710135204,0.0865669995546341,0.01026337553470656,5936.333333333333,14.572288036346436
oscillatory,fno,0.1,0.0910143827398618,6.614390818320868e-05,3.061622142791748,0.004686288180320557,0.0016178309839839737,2.1051065397930231e-07,8558.666666666666,33.4049768447876
oscillatory,fno,1.0,0.05165927732984225,1.5261212824962476e-05,1.2772923310597737,0.0010652469564788498,0.001560764464860161,2.0441858705208084e-09,5395.333333333333,21.36925156911214
oscillatory,fno,10.0,0.04573281854391098,6.246835321728393e-07,1.112533410390218,1.2829452687590752e-05,0.0015598911171158154,1.7782734146518376e-10,3790.6666666666665,14.912395238876343
oscillatory,lno,0.1,0.094210979839166,0.00016394953497229635,3.4121318658192954,0.006471998952204437,0.0016386362258344889,3.9530371757456557e-07,7757.666666666667,26.14263900121053
oscillatory,lno,1.0,0.053484623630841575,1.8392126176308513e-05,1.3005801836649578,0.0003297993957121218,0.0015614117340495188,1.9346087652285357e-08,4874.666666666667,16.322722514470417
oscillatory,lno,10.0,0.04722431177894274,1.1348957544032354e-05,1.1017274459203084,0.00014507556671826345,0.0015597458307941754,1.0498915223438034e-09,3892.6666666666665,13.00781480471293
polynomial_tracking,deeponet,0.1,0.018760998422900837,0.00014553040549556432,0.0706379363934199,3.2343588529537745e-05,0.1489042192697525,1.8862186259057503e-06,13998.666666666666,33.101388931274414
polynomial_tracking,deeponet,1.0,0.009602690115571022,1.1234618913068198e-05,0.0505270871023337,1.2747807503357837e-05,0.14795158306757608,1.489097525235165e-06,10436.0,24.47550090154012
polynomial_tracking,deeponet,10.0,0.06383773932854335,1.240523533897808e-06,0.150644913315773,1.3487814679001122e-06,0.14410645266373953,1.5220595842893223e-07,7073.666666666667,16.68895109494527
