benchmark,arch,rho,rel_err_x_mean,rel_err_x_std,rel_err_u_mean,rel_err_u_std,obj_mean,obj_std,stop_epoch_mean,solve_s_mean
polynomial_tracking,fno,0.1,0.003335954233383139,2.4845630779692734e-05,0.04848759869734446,0.00011019104330171318,0.14889453848203024,5.812089632441012e-07,11705.0,45.23333422342936
polynomial_tracking,fno,1.0,0.00196728374188145,7.301840136824709e-06,0.022170431911945343,8.427278640146743e-05,0.14874763786792755,1.9371509552001953e-07,8587.333333333334,32.93084295590719
polynomial_tracking,fno,10.0,0.005351747541377942,1.0074414155755604e-06,0.04924749210476875,6.7823848961796615e-06,0.1486339420080185,1.4901161193847656e-08,5159.0,19.764700174331665
polynomial_tracking,lno,0.1,0.0035362227354198694,5.986830421606683e-05,0.06815069168806076,0.00026010722434120174,0.14928849041461945,7.088631327310977e-07,10273.333333333334,33.62113404273987
polynomial_tracking,lno,1.0,0.006252592584739129,1.452983425420703e-05,0.0328663152952989,2.547881827271627e-05,0.1491816540559133,8.603189428509036e-09,7394.666666666667,24.327460289001465
polynomial_tracking,lno,10.0,0.0066880279531081515,5.835539100146316e-06,0.025926167145371437,1.1457275059913139e-05,0.14915809532006583,3.101924060701905e-08,4439.333333333333,14.544757525126139
singular_arc,deeponet,0.1,0.4651442766189575,7.884953353001448e-08,0.48904305696487427,1.2990531157078367e-07,3.066324154535929,7.283807906050521e-07,7951.333333333333,19.021159728368122
singular_arc,deeponet,1.0,0.19777940213680267,4.588009213906721e-07,0.28729939460754395,1.1530841661782921e-06,2.1729607582092285,6.307962682401158e-07,7112.666666666667,16.998886346817017
singular_arc,deeponet,10.0,1.0702879428863525,0.0,0.4156993826230367,1.7206378857018073e-08,0.8092712561289469,3.441275768999911e-08,9108.0,21.833667357762653
singular_arc,fno,0.1,0.3637485206127167,0.006181285153238503,0.5018080870310465,0.03393788305616179,3.0083070596059165,0.053270575931917495,10403.0,48.47790503501892
singular_arc,fno,1.0,0.1269910583893458,0.0014486867661070576,0.24765277902285257,0.008290540922985505,2.0478463172912598,0.006351012113647182,8754.333333333334,41.120550791422524
singular_arc,fno,10.0,0.8810588916142782,0.08633373264223915,0.3171558082103729,0.004191764524240251,0.9787042140960693,0.05609999055847124,7206.666666666667,33.64540100097656
singular_arc,lno,0.1,0.44917993744214374,1.8374608112102095e-06,0.4789989988009135,8.179601960794188e-06,3.104760726292928,1.0952559591351135e-05,9193.0,32.76872936884562
singular_arc,lno,1.0,0.18656128644943237,9.862947907074042e-07,0.2565400203069051,1.0085932530238924e-06,2.1824188232421875,1.8000207985092997e-06,6915.333333333333,24.888548851013184
singular_arc,lno,10.0,0.850173811117808,9.836271440535532e-07,0.32536930839220685,8.206919651205992e-07,0.9442985852559408,2.481539248628191e-07,6814.666666666667,24.44161605834961
